iter	Passed	Remaining
889	5841	722
890	5848	715
891	5861	709
892	5870	703
893	5879	697
894	5883	690
895	5890	683
896	5896	677
897	5903	670
898	5909	663
899	5914	657
900	5918	650
901	5922	643
902	5926	636
903	5931	629
904	5935	623
905	5941	616
906	5948	609
907	5974	605
908	5987	599
909	6004	593
910	6008	587
911	6013	580
912	6018	573
913	6023	566
914	6027	559
915	6032	553
916	6036	546
917	6044	539
918	6051	533
919	6056	526
920	6065	520
921	6073	513
922	6078	507
923	6083	500
924	6090	493
925	6097	487
926	6102	480
927	6106	473
928	6110	467
929	6115	460
930	6119	453
931	6124	446
932	6129	440
933	6135	433
934	6142	427
935	6148	420
936	6153	413
937	6157	407
938	6162	400
939	6166	393
940	6176	387
941	6188	381
942	6194	374
943	6199	367
944	6203	361
945	6207	354
946	6212	347
947	6217	341
948	6221	334
949	6225	327
950	6232	321
951	6240	314
952	6245	308
953	6252	301
954	6261	295
955	6269	288
956	6274	281
957	6282	275
958	6290	268
959	6295	262
960	6299	255
961	6303	249
962	6308	242
963	6312	235
964	6316	229
965	6321	222
966	6327	215
967	6334	209
968	6340	202
969	6345	196
970	6349	189
971	6353	183
972	6358	176
973	6367	169
974	6382	163
975	6389	157
976	6394	150
977	6400	143
978	6409	137
979	6413	130
980	6417	124
981	6423	117
982	6433	111
983	6439	104
984	6443	98
985	6450	91
986	6461	85
987	6475	78
988	6483	72
989	6489	65
990	6499	59
991	6504	52
992	6508	45
993	6513	39
994	6519	32
995	6526	26
996	6533	19
997	6537	13
998	6542	6
999	6547	0
